sent_model,target,ticker,approach,mae,dir_acc
DeBERTa,cc,MSFT,Gated-Naive,0.007837625862886848,0.08888888888888889
DeBERTa,cc,MSFT,Sent×Vol,0.007849226079004736,0.3111111111111111
DeBERTa,cc,MSFT,Dir-Nudge,0.007901710593846523,0.0
DeBERTa,cc,MSFT,Extreme-Mag,0.007837625862886848,0.08888888888888889
DeBERTa,cc,MSFT,Bayesian,0.007828544698828908,0.3111111111111111
DeBERTa,cc,MSFT,Ridge,0.008808645032764363,0.5111111111111111
DeBERTa,cc,NVDA,Naive,0.023099850407138536,0.0
DeBERTa,cc,NVDA,Gated-Naive,0.021787035273731638,0.17777777777777778
DeBERTa,cc,NVDA,Sent×Vol,0.021082767377730235,0.4
DeBERTa,cc,NVDA,Dir-Nudge,0.023099850407138536,0.0
DeBERTa,cc,NVDA,Extreme-Mag,0.022561832358062365,0.17777777777777778
DeBERTa,cc,NVDA,Bayesian,0.022038555765902492,0.4
DeBERTa,cc,NVDA,Ridge,0.021272792137015616,0.6444444444444445
DeBERTa,cc,TSLA,Naive,0.027569892187314003,0.0
DeBERTa,cc,TSLA,Gated-Naive,0.027569892187314003,0.0
DeBERTa,cc,TSLA,Sent×Vol,0.027569892187314003,0.0
DeBERTa,cc,TSLA,Dir-Nudge,0.027569892187314003,0.0
DeBERTa,cc,TSLA,Extreme-Mag,0.027569892187314003,0.0
DeBERTa,cc,TSLA,Bayesian,0.027569892187314003,0.0
DeBERTa,cc,TSLA,Ridge,0.027626766464205428,0.5333333333333333
Gemma-3-1B,gap,AAPL,Naive,0.006933159102138145,0.0
Gemma-3-1B,gap,AAPL,Gated-Naive,0.006933159102138145,0.0
Gemma-3-1B,gap,AAPL,Sent×Vol,0.006933159102138145,0.0
Gemma-3-1B,gap,AAPL,Dir-Nudge,0.006933159102138145,0.0
Gemma-3-1B,gap,AAPL,Extreme-Mag,0.006933159102138145,0.0
Gemma-3-1B,gap,AAPL,Bayesian,0.006933159102138145,0.0
Gemma-3-1B,gap,AAPL,Ridge,0.007334818782019695,0.6136363636363636
Gemma-3-1B,gap,AMZN,Naive,0.006309142682461388,0.0
Gemma-3-1B,gap,AMZN,Gated-Naive,0.006309142682461388,0.0
Gemma-3-1B,gap,AMZN,Sent×Vol,0.006309142682461388,0.0
Gemma-3-1B,gap,AMZN,Dir-Nudge,0.006309142682461388,0.0
Gemma-3-1B,gap,AMZN,Extreme-Mag,0.006309142682461388,0.0
Gemma-3-1B,gap,AMZN,Bayesian,0.006309142682461388,0.0
Gemma-3-1B,gap,AMZN,Ridge,0.006493152231777477,0.5
Gemma-3-1B,gap,GOOGL,Naive,0.00633826473519132,0.0
Gemma-3-1B,gap,GOOGL,Gated-Naive,0.006554637864959883,0.13333333333333333
Gemma-3-1B,gap,GOOGL,Sent×Vol,0.006665424628683987,0.28888888888888886
Gemma-3-1B,gap,GOOGL,Dir-Nudge,0.00633826473519132,0.0
